,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
1638,9/4/2019 21:59:20,Mahasiswa,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,Sistem otomatisasi secara online untuk mahasiswa lebih dibenahi
1640,9/4/2019 22:23:03,Mahasiswa,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,
1641,9/4/2019 22:27:15,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Semoga sukses..
1646,9/5/2019 4:49:16,Alumni,> 40 th,Edy Tri Baskoro (FMIPA-MA),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,ITB Semakin maju di level Internasional
1648,9/5/2019 4:58:46,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Moga Prof. Edi Tri Baskoro terpilih jadi Rektor ITB
1649,9/5/2019 5:51:45,Dosen,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1650,9/5/2019 5:52:07,Dosen,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1653,9/5/2019 7:01:48,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Akhlak dan budi pekerti,Semoga amanah
1658,9/5/2019 7:22:45,Mahasiswa,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Kecerdasan dan keberanian utk kemajuan ITB,
1659,9/5/2019 7:23:19,Mahasiswa,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1669,9/5/2019 8:46:04,Pegawai / Tendik,> 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,Membawa nama ITB menjadi Perguruan Tinggi di Dunia (World Class University)
1670,9/5/2019 8:47:41,Pegawai / Tendik,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,ITB bisa menjadi perguruan tinggi terbaik di indonesia
1672,9/5/2019 8:52:08,Pegawai / Tendik,> 40 th,Edy Tri Baskoro (FMIPA-MA),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,Kedepannya Pegawai/Tendik ITB lebih unggul dan sejahtera.
1676,9/5/2019 10:11:58,Dosen,< 25 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1677,9/5/2019 10:27:46,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Menjadi rektor yang amanah dan bisa mengangkat prestasi ITB dikancah nasional maupun internasional
1727,9/6/2019 0:40:41,Dosen,> 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,"ITB lebih maju dan menjadi tulang punggung perkembangan ilmu, aplikasi IPTEK dan inovasi untuk kemaslahatan bangsa dan negara."
1754,9/6/2019 8:06:48,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Kapabilitas ybs utk memajukan riset dan industri RI,
1759,9/6/2019 9:09:03,Pegawai / Tendik,> 40 th,Edy Tri Baskoro (FMIPA-MA),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,"kepada Rektor ITb yang terpilih nanti terkait masalah kesejahteraan para pegawainya juga terhadap para dosen dan pegawai yang sudah sekian lama mengabdi agar selalu diperhatikan hak-haknya. Meski dosen bukan karyawan sebagaimana UU tenaga kerja, paling tidak pengabdiannya selama ini perlu diapresiasi oleh pimpinan rektorat. "
1790,9/7/2019 7:41:55,Alumni,> 40 th,Edy Tri Baskoro (FMIPA-MA),Muda dan berenergi,Semoga Jadi
1796,9/7/2019 10:18:01,Dosen,> 40 th,Edy Tri Baskoro (FMIPA-MA),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Smg dpt mengajukan pendidikan di Indonesia mell mahasiswa ITB
1811,9/8/2019 10:45:28,Alumni,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,
1850,9/10/2019 21:41:40,Alumni,> 40 th,Edy Tri Baskoro (FMIPA-MA),Sesuai dengan kriteria kekinian (Rektor 4.0),Itb semakin berprestasi
1854,9/11/2019 10:32:28,Dosen,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Akhlak dan budi pekerti,Semoga amanah
1883,9/14/2019 14:43:16,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Sesuai dengan kriteria kekinian (Rektor 4.0),Itb tbh lbh jaya
1884,9/14/2019 14:43:19,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,"Semoga lebih baik dari sebelumnya
"
1901,9/14/2019 15:31:36,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Semoga dipimpin bp Edy Baskoro tambh mantappp universitas nya
1910,9/14/2019 15:47:05,Dosen,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Semoga terpilih menjadi rektor ITB periode 2020 - 2025
1911,9/14/2019 15:48:26,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,
1923,9/14/2019 16:21:57,Dosen,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Kapabilitas ybs utk meningkatkan ranking ITB,
1935,9/14/2019 17:27:30,Alumni,> 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,
1947,9/14/2019 18:35:25,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Kecerdasan dan keberanian utk kemajuan ITB,
1948,9/14/2019 18:36:50,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Akhlak dan budi pekerti,
1949,9/14/2019 18:56:28,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,ITB semakin jaya
1955,9/14/2019 20:00:03,Mahasiswa,< 25 th,Edy Tri Baskoro (FMIPA-MA),Kapabilitas ybs utk memajukan riset dan industri RI,
1958,9/14/2019 20:08:39,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Sukses n berhasil
1960,9/14/2019 20:53:54,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,Terpilih menjadi Rektor ITB
1965,9/14/2019 21:27:31,Pegawai / Tendik,> 40 th,Edy Tri Baskoro (FMIPA-MA),Kapabilitas ybs utk meningkatkan ranking ITB,moga dengan kepemimpinan beliau dpt mengantarkan ITB lebih baik lg dan kesejahteraan karyawan dan dosen lebih baik lagi
1966,9/14/2019 22:18:23,Umum,< 25 th,Edy Tri Baskoro (FMIPA-MA),Kapabilitas ybs utk meningkatkan ranking ITB,
1967,9/14/2019 22:21:05,Umum,< 25 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1974,9/15/2019 6:37:46,Dosen,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,
1976,9/15/2019 7:56:37,Umum,< 25 th,Edy Tri Baskoro (FMIPA-MA),Karakter kepemimpinan dan leadership,
1984,9/15/2019 9:01:53,Umum,> 40 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Membawa ITB lebih maju dan lebih baik 
2008,9/16/2019 10:45:44,Umum,25 - 40 th,Edy Tri Baskoro (FMIPA-MA),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga Bapak Edy bisa membawa ITB menjadi lebih baik
792,9/3/2019 9:36:53,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Semoga rektor yang terpilih dapat membawa ITB naik peringkat perguruan tinggi di dunia
801,9/3/2019 9:53:16,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),Dapat membawa ITB untuk memberikan wisudawan2 yg siap mendukung teknologi digital di segala bidang dalam era 4.0.
804,9/3/2019 9:57:07,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Perlu rektor yg punya visi dan membaca perkembangan yg sangat cepat dan dinamis
842,9/3/2019 10:58:11,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Kecerdasan dan keberanian utk kemajuan ITB,
851,9/3/2019 11:08:30,Dosen,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),"ITB harus tambah maju, berhasil  menyelesaikan masalah dlm negri itb (parkir, kebersihan, ruangan perkuluiahan, kenaikan jab, s/d dana riset dll), juga keluar, sosialisasi hasil2 bagus yg bisa diketengahkan ke masyarakat, dan LN,  bersaing prestasi dlm hub kerma dg luar negeri"
1153,9/3/2019 15:24:33,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
1154,9/3/2019 15:24:39,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
1283,9/3/2019 18:42:21,Alumni,25 - 40 th,Gusti Ayu Putri Saptawati S (STEI),"Emansipasi, kesetaraan dan kebhinekaan",
1954,9/14/2019 19:57:22,Alumni,> 40 th,Gusti Ayu Putri Saptawati S (STEI),"Emansipasi, kesetaraan dan kebhinekaan",Itb world class university
7,9/1/2019 8:33:31,Dosen,> 40 th,Jaka Sembiring (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Dosen lebih diutamakan dibanding pejabat ITB
13,9/1/2019 12:18:50,Dosen,> 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),"ITB 4.0 yang serba cepat, inovatif dan progresif"
24,9/1/2019 13:59:34,Dosen,> 40 th,Jaka Sembiring (STEI),Kecerdasan dan keberanian utk kemajuan ITB,
201,9/1/2019 19:51:14,Mahasiswa,< 25 th,Jaka Sembiring (STEI),Keberhasilan dan prestasi,
228,9/2/2019 4:37:13,Mahasiswa,25 - 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB makin maju
244,9/2/2019 8:20:41,Dosen,> 40 th,Jaka Sembiring (STEI),Akhlak dan budi pekerti,ITB semakin jaya
300,9/2/2019 11:49:07,Alumni,> 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),menjunjung NKRI
313,9/2/2019 13:20:46,Alumni,> 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
323,9/2/2019 14:40:30,Alumni,> 40 th,Jaka Sembiring (STEI),Karakter kepemimpinan dan leadership,
471,9/2/2019 18:44:32,Alumni,> 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB selalu terdepan dalam setiap kegiatan kemahasiswaan...
549,9/2/2019 21:27:11,Dosen,> 40 th,Jaka Sembiring (STEI),Muda dan berenergi,ITB be number one
1767,9/6/2019 13:33:02,Alumni,> 40 th,Jaka Sembiring (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
1770,9/6/2019 16:24:38,Mahasiswa,25 - 40 th,Jaka Sembiring (STEI),Karakter kepemimpinan dan leadership,
1812,9/8/2019 11:54:48,Alumni,25 - 40 th,Jaka Sembiring (STEI),"Emansipasi, kesetaraan dan kebhinekaan",
1847,9/10/2019 12:14:47,Alumni,> 40 th,Jaka Sembiring (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,"ITB akan semakin maju dan masuk Top 100 di taraf internasional, menjunjung tinggi moral, humanity dan pluralisme selain di bidang teknologi dan seni."
14,9/1/2019 12:26:02,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
20,9/1/2019 13:37:04,Pegawai / Tendik,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
73,9/1/2019 14:51:19,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
87,9/1/2019 15:07:55,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
112,9/1/2019 15:51:24,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,Ok
130,9/1/2019 16:37:36,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,
165,9/1/2019 17:47:22,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
170,9/1/2019 17:58:38,Dosen,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
184,9/1/2019 18:21:08,Mahasiswa,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,ITB tetap peringkat 1 PT Indonesia
192,9/1/2019 18:45:14,Mahasiswa,< 25 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),
202,9/1/2019 20:05:02,Mahasiswa,< 25 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
208,9/1/2019 20:56:24,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,ITB makin maju
210,9/1/2019 20:59:31,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,ITB lebih bagus lagi 
212,9/1/2019 21:01:04,Pegawai / Tendik,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,Lebih bagus lagi ... 
233,9/2/2019 6:38:49,Dosen,25 - 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,
292,9/2/2019 11:07:11,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,ITB semakin dikenal di dunia international dan dapat terus mendukung kemajuan Indonesia. 
299,9/2/2019 11:48:08,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
303,9/2/2019 12:20:03,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
312,9/2/2019 13:04:52,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,
385,9/2/2019 16:52:27,Alumni,< 25 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,
391,9/2/2019 17:04:06,Pegawai / Tendik,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,Lanjutkan
397,9/2/2019 17:11:06,Alumni,< 25 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
415,9/2/2019 17:43:43,Dosen,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
422,9/2/2019 17:49:43,Dosen,25 - 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,ITB Cirebon menjadi pusat penelitian multidisiplin bidang lingkungan
430,9/2/2019 18:01:22,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk meningkatkan ranking ITB,Pak kadarsah dapat kembali memimpin itb
462,9/2/2019 18:33:50,Mahasiswa,< 25 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,Yuhu
482,9/2/2019 19:09:47,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
496,9/2/2019 19:45:29,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB semakin maju.
587,9/3/2019 5:31:37,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,
589,9/3/2019 5:38:52,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Kecerdasan dan keberanian utk kemajuan ITB,
614,9/3/2019 6:23:33,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,Mempertahankan prestasi ITB no 1 di Indonesia dan bisa  mencapai prestasi dunia yg lebih baik
694,9/3/2019 7:28:32,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Akhlak dan budi pekerti,
784,9/3/2019 9:30:40,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
823,9/3/2019 10:29:06,Mahasiswa,25 - 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,Semoga bisa membawa rangking itb masuk 10 besar dunia
848,9/3/2019 11:07:40,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
849,9/3/2019 11:08:16,Pegawai / Tendik,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,ITB menjadi lebih baik
850,9/3/2019 11:08:18,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Akhlak dan budi pekerti,
852,9/3/2019 11:09:16,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),
853,9/3/2019 11:10:56,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),Sinergi ITB dengan dunia usaha dan industri
854,9/3/2019 11:13:53,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
855,9/3/2019 11:13:57,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Akhlak dan budi pekerti,ITB sebagai lembaga penghasil SDA berkualitas di Indonesia
856,9/3/2019 11:14:21,Pegawai / Tendik,> 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
857,9/3/2019 11:14:33,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,ITB peringkat 1 Indonesia
858,9/3/2019 11:14:54,Mahasiswa,25 - 40 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),
859,9/3/2019 11:15:19,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),Akhlak dan budi pekerti,
860,9/3/2019 11:15:49,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Kecerdasan dan keberanian utk kemajuan ITB,
861,9/3/2019 11:16:38,Pegawai / Tendik,25 - 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
862,9/3/2019 11:16:52,Dosen,25 - 40 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),
863,9/3/2019 11:17:32,Pegawai / Tendik,25 - 40 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,
865,9/3/2019 11:18:07,Mahasiswa,25 - 40 th,Kadarsah Suryadi (FTI-TI),Muda dan berenergi,
866,9/3/2019 11:18:37,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
867,9/3/2019 11:18:55,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
869,9/3/2019 11:20:44,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,
870,9/3/2019 11:22:03,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",ITB lebih mudah diakses calon mahasiswa tidak mampu
873,9/3/2019 11:26:59,Pegawai / Tendik,> 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,Semoga dengan terpilihnya yang ke dua kali kesejahteraan Tendik ITB lebih sejahtera. Aamiin YRA....
875,9/3/2019 11:29:13,Umum,25 - 40 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,masuk peringkat universitas terbaik internasional
876,9/3/2019 11:30:25,Pegawai / Tendik,> 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,ITB menjadi lebih maju
881,9/3/2019 11:36:14,Dosen,> 40 th,Kadarsah Suryadi (FTI-TI),Karakter kepemimpinan dan leadership,
882,9/3/2019 11:36:36,Pegawai / Tendik,25 - 40 th,Kadarsah Suryadi (FTI-TI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
883,9/3/2019 11:37:06,Mahasiswa,< 25 th,Kadarsah Suryadi (FTI-TI),Sesuai dengan kriteria kekinian (Rektor 4.0),
884,9/3/2019 11:37:30,Alumni,> 40 th,Kadarsah Suryadi (FTI-TI),Kapabilitas ybs utk memajukan riset dan industri RI,Banyak produk riset ITB di dunia Industri
885,9/3/2019 11:37:31,Alumni,25 - 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
886,9/3/2019 11:37:53,Umum,> 40 th,Kadarsah Suryadi (FTI-TI),Keberhasilan dan prestasi,
